V1,V2
Y,1959169.0
Y,1989749.0
Y,3020730.0
Y,1014651.0
Y,1787186.0
X,1512380.0
X,1354657.0
X,1309026.0
Y,1262695.0
Y,1583102.0
Y,1195424.0
Y,1071011.0
X,1352217.0
Y,919088.0
Y,1037070.0
X,1559791.0
X,924948.0
Y,1017040.0
X,1438448.0
X,958979.0
X,1235805.0
Y,1098031.0
Y,915938.0
X,1066281.0
Y,1194373.0
Y,973069.0
Y,1570881.0
X,1112842.0
X,948658.0
X,1690383.0
Y,1128202.0
X,1516400.0
X,1384717.0
Y,1122222.0
Y,1454729.0
Y,1072631.0
X,990990.0
Y,1842047.0
X,1053441.0
X,1367497.0
X,1544161.0
Y,1078271.0
X,1285125.0
Y,989780.0
X,1024530.0
X,1080561.0
X,940049.0
X,965469.0
Y,1484729.0
X,938938.0
X,973219.0
Y,956148.0
X,1370257.0
Y,1073871.0
X,986300.0
X,1028970.0
X,940918.0
X,1126062.0
Y,1079291.0
X,909929.0
Y,1002540.0
Y,979999.0
X,982089.0
Y,1016040.0
X,1108352.0
X,997270.0
Y,871807.0
Y,989470.0
Y,1043100.0
Y,927739.0
Y,1067571.0
Y,1404498.0
X,951299.0
Y,1012389.0
X,1056271.0
X,1042760.0
X,866577.0
X,968599.0
Y,1000550.0
X,874157.0
X,1024850.0
Y,1072841.0
Y,1060972.0
Y,869437.0
Y,1032040.0
Y,987729.0
X,915928.0
X,1027990.0
Y,1022120.0
Y,1020530.0
X,913388.0
Y,918338.0
Y,977760.0
X,912858.0
Y,1067031.0
Y,1066522.0
X,1043351.0
Y,938208.0
Y,1023170.0
X,1321656.0
X,883838.0
X,1064001.0
X,1081571.0
X,1014540.0
X,1112982.0
X,1133603.0
Y,1032520.0
Y,901237.0
X,1505260.0
X,1109672.0
X,1002550.0
X,1070182.0
Y,991809.0
X,920958.0
X,1057701.0
Y,984479.0
X,1092762.0
X,975990.0
X,1063130.0
Y,926438.0
X,878957.0
X,942889.0
Y,971710.0
X,1026640.0
Y,1015040.0
X,1040900.0
X,937818.0
X,919018.0
X,982050.0
X,972730.0
X,998850.0
X,1248045.0
X,1038840.0
Y,926728.0
Y,915238.0
X,1015180.0
X,1060080.0
X,941639.0
X,1046841.0
X,1024001.0
Y,952489.0
X,1049561.0
Y,1065271.0
X,932838.0
X,938779.0
X,989240.0
Y,1279185.0
Y,938088.0
Y,1033160.0
Y,984659.0
X,930618.0
Y,916918.0
X,951669.0
X,966409.0
Y,896178.0
X,1051880.0
Y,971349.0
Y,1008630.0
X,1004080.0
X,960189.0
X,906258.0
Y,942069.0
X,1023570.0
Y,1240964.0
X,959739.0
X,1063011.0
Y,1085382.0
Y,915398.0
X,1123852.0
X,985449.0
Y,938818.0
X,962469.0
Y,942329.0
X,1046200.0
Y,892107.0
Y,941768.0
Y,1016051.0
Y,1161723.0
Y,909698.0
X,1003710.0
X,1002180.0
Y,927519.0
X,922389.0
X,950479.0
X,1287566.0
X,1018210.0
Y,1029960.0
X,1052140.0
Y,992210.0
Y,903048.0
Y,1000030.0
Y,1327276.0
Y,899767.0
X,1269375.0
Y,1072561.0
X,962488.0
X,1107212.0
X,1045091.0
Y,911798.0
Y,946128.0
Y,1050111.0
X,1077961.0
X,918788.0
X,997490.0
Y,1148592.0
Y,919888.0
X,1047071.0
X,1079641.0
X,1004150.0
Y,961739.0
Y,1042000.0
X,980020.0
Y,987869.0
X,1435659.0
X,1117262.0
Y,977019.0
X,1077051.0
Y,942589.0
Y,1532050.0
Y,1142253.0
X,1093432.0
Y,959709.0
X,890688.0
Y,1022660.0
Y,892218.0
Y,914038.0
X,1034110.0
Y,908008.0
Y,894568.0
Y,882407.0
X,1315926.0
Y,1033951.0
Y,894047.0
Y,914418.0
Y,971499.0
X,1018940.0
Y,855347.0
Y,886147.0
Y,941459.0
X,973860.0
X,879117.0
Y,950489.0
Y,901438.0
Y,948778.0
Y,935708.0
X,1029320.0
Y,868837.0
Y,895228.0
Y,893368.0
X,1236935.0
Y,959279.0
X,941989.0
Y,1001709.0
Y,1421398.0
Y,854977.0
X,1005720.0
X,993169.0
X,935968.0
Y,943999.0
X,914178.0
Y,857157.0
X,1171332.0
X,1082611.0
Y,1026960.0
X,894887.0
X,881437.0
Y,1366617.0
Y,1097132.0
Y,903237.0
X,1095682.0
X,1066531.0
Y,956489.0
Y,989870.0
Y,1377557.0
X,1055691.0
Y,954169.0
Y,1013040.0
Y,1022350.0
Y,973049.0
X,1014580.0
X,911007.0
Y,967489.0
Y,924068.0
Y,889567.0
Y,1096752.0
X,934598.0
Y,1045261.0
X,947909.0
X,916618.0
X,970349.0
Y,932628.0
X,1003110.0
X,976869.0
Y,926418.0
X,1002200.0
Y,915118.0
Y,876127.0
X,925268.0
Y,1327667.0
Y,1050060.0
Y,1342556.0
Y,1029801.0
X,929018.0
X,1006810.0
X,965279.0
Y,1035040.0
Y,909028.0
Y,1102282.0
X,1045571.0
X,989699.0
X,922178.0
X,1020251.0
Y,1009740.0
X,914138.0
X,1022080.0
Y,1153332.0
X,1008530.0
Y,896218.0
Y,1052501.0
