V1,V2
X,1067424
X,1052010
X,1051438
X,1051574
X,1051295
X,1051362
X,1051604
X,1051605
X,1051347
X,1052488
X,1052066
X,1051581
X,1051374
X,1051261
X,1051178
X,1052459
X,1051629
X,1051642
X,1051385
X,1051581
X,1051038
X,1051453
X,1051321
X,1051369
X,1051491
X,1051862
X,1051478
X,1051222
X,1051650
X,1052098
X,1052352
X,1051503
X,1051387
X,1051310
X,1052344
X,1051289
X,1051357
X,1052258
X,1051512
X,1051315
X,1052281
X,1051376
X,1051154
X,1051326
X,1051238
X,1051764
X,1051315
X,1051342
X,1051443
X,1051217
X,1051396
X,1051075
X,1051616
X,1052223
X,1051423
X,1051567
X,1051383
X,1051299
X,1051476
X,1051457
X,1053113
X,1051314
X,1051293
X,1051631
X,1051488
X,1051278
X,1051323
X,1051229
X,1051418
X,1051352
X,1051237
X,1051326
X,1051362
X,1051332
X,1051195
X,1051361
X,1051150
X,1051265
X,1051304
X,1051623
X,1051329
X,1051378
X,1051551
X,1051500
X,1051222
X,1051869
X,1051427
X,1051574
X,1052146
X,1051797
X,1051721
X,1051752
X,1051407
X,1051353
X,1051365
X,1051173
X,1051213
X,1052993
X,1051596
X,1051526
X,1052689
X,1051366
X,1051452
X,1051215
X,1051547
X,1052385
X,1051382
X,1051274
X,1053062
X,1051979
X,1051221
X,1051370
X,1052643
X,1052002
X,1051430
X,1051245
X,1051813
X,1053183
X,1051394
X,1051253
X,1051195
X,1051118
X,1052907
X,1051327
X,1050958
X,1051716
X,1051215
X,1052222
X,1052146
X,1051276
X,1051286
X,1052016
X,1051703
X,1051302
X,1051416
X,1051423
X,1051747
X,1051536
X,1053078
X,1051546
X,1051576
X,1052630
X,1051380
X,1051496
X,1051674
X,1051269
X,1051354
X,1052647
X,1051279
X,1051119
X,1051647
X,1051760
X,1051499
X,1051391
X,1051233
X,1051264
X,1051400
X,1052221
X,1051488
X,1051498
X,1051594
X,1051826
X,1051223
X,1051172
X,1051441
X,1051735
X,1051493
X,1051302
X,1051298
X,1051289
X,1051534
X,1051414
X,1051394
X,1051289
X,1051451
X,1051873
X,1051417
X,1052176
X,1051285
X,1051348
X,1051225
X,1051150
X,1051317
X,1051476
X,1051231
X,1051708
X,1051280
X,1051467
X,1051449
X,1053816
X,1051266
X,1051276
X,1051253
X,1051382
X,1051665
X,1051610
X,1051370
X,1051184
X,1051276
X,1052020
X,1051557
X,1051309
X,1051298
X,1053073
X,1050984
X,1051327
X,1051274
X,1051159
X,1052197
X,1051044
X,1051138
X,1051254
X,1051193
X,1051046
X,1051316
X,1051354
X,1051169
X,1051398
X,1051372
X,1052030
X,1051350
X,1051270
X,1051280
X,1051783
X,1051527
X,1051297
X,1051350
X,1051100
X,1051416
X,1051328
X,1052630
X,1050972
X,1051591
X,1051163
X,1051247
X,1051512
X,1052078
X,1051481
X,1051307
X,1051352
X,1052825
X,1051091
X,1051135
X,1051302
X,1052957
X,1051263
X,1051412
X,1051325
X,1051332
X,1051473
X,1052828
X,1051346
X,1051543
X,1051192
X,1051352
X,1051375
X,1051195
X,1051149
X,1051124
X,1051334
X,1051390
X,1051398
X,1051795
X,1051794
X,1051354
X,1051291
X,1051267
X,1052130
X,1050872
X,1051367
X,1052090
X,1051350
X,1051333
X,1051370
X,1051092
X,1051287
X,1051374
X,1051756
X,1051324
X,1051256
X,1052820
X,1051393
X,1051471
X,1051387
X,1051454
X,1051398
X,1051419
X,1051330
X,1050945
X,1051404
X,1051163
X,1051335
X,1051697
X,1051234
X,1051211
X,1051979
X,1051187
X,1051532
X,1051326
X,1051314
X,1052792
X,1051052
X,1051095
X,1051339
X,1051229
X,1051307
X,1051196
X,1051652
X,1051495
X,1052002
X,1052337
X,1051768
X,1051233
X,1052065
X,1051332
X,1051831
X,1051798
X,1052019
X,1051407
X,1051273
X,1051742
X,1051410
X,1051735
X,1051347
X,1051459
X,1051324
X,1051707
X,1051233
X,1051232
X,1052402
X,1051525
X,1051267
X,1051223
X,1051772
X,1052628
X,1051485
X,1052120
X,1051282
X,1052601
X,1051763
X,1051213
X,1051341
X,1051205
X,1051485
X,1052881
X,1052034
X,1051398
X,1051183
X,1051471
X,1051279
X,1052715
X,1051480
X,1051721
X,1051713
X,1051318
X,1051860
X,1051141
X,1052816
X,1051766
X,1051227
X,1050974
X,1051051
X,1051301
X,1051493
X,1051773
X,1051527
X,1051601
X,1052741
X,1051282
X,1051512
X,1051403
X,1052775
X,1051238
X,1051253
X,1051204
X,1051296
X,1051517
X,1053611
X,1051934
X,1052536
X,1051609
X,1051575
X,1051246
X,1051189
X,1051380
X,1051553
X,1051315
X,1051563
X,1051232
X,1051565
X,1051290
X,1051493
X,1051240
X,1051366
X,1051348
X,1051260
X,1051362
X,1051206
X,1052870
X,1051455
X,1051246
X,1051240
X,1052540
X,1051633
X,1051138
X,1051437
X,1051572
X,1051435
X,1051572
X,1051259
X,1051124
X,1051233
X,1051211
X,1052106
X,1051008
X,1051244
X,1051549
X,1051797
X,1051300
X,1051277
X,1051492
X,1051437
X,1051300
X,1052009
X,1051325
X,1051615
X,1052260
